lead_id,created_date,source,rep,stage,deal_value_inr,days_to_close
1043,2025-10-06,Paid Social,P. Nair,Proposal Sent,0,
1044,2025-09-20,Paid Social,K. Das,Converted,55000,37
1045,2025-09-04,Direct,R. Iyer,Converted,35000,33
1046,2025-10-25,Email Campaign,A. Sharma,Contacted,0,
1047,2025-12-09,Organic Search,S. Gupta,Converted,55000,38
1048,2026-02-17,Webinar,R. Iyer,Converted,22000,6
1049,2026-01-27,Webinar,A. Sharma,New,0,
1050,2026-01-28,Paid Social,K. Das,Proposal Sent,0,
1051,2025-09-21,Email Campaign,A. Sharma,Lost,0,
1052,2025-10-31,Paid Social,K. Das,Qualified,0,
1053,2026-02-06,Organic Search,K. Das,Qualified,0,
1054,2025-11-06,Organic Search,P. Nair,Converted,35000,11
1055,2026-02-19,Webinar,S. Gupta,Demo Scheduled,0,
1056,2025-09-19,Organic Search,K. Das,Lost,0,
1057,2025-09-19,Referral,K. Das,Converted,28000,7
1058,2025-11-02,Paid Social,R. Iyer,Qualified,0,
1059,2025-11-17,Referral,K. Das,Converted,42000,22
1060,2026-02-17,Organic Search,R. Iyer,Converted,15000,38
1061,2025-10-10,Organic Search,K. Das,Converted,28000,16
1062,2026-02-23,Webinar,P. Nair,Contacted,0,
1063,2025-09-14,Organic Search,S. Gupta,New,0,
1064,2025-11-25,Email Campaign,P. Nair,Qualified,0,
1065,2026-02-28,Paid Social,A. Sharma,Converted,55000,12
1066,2026-01-18,Organic Search,P. Nair,Contacted,0,
1067,2025-10-03,Organic Search,P. Nair,Lost,0,
1068,2025-09-11,Email Campaign,R. Iyer,Lost,0,
1069,2025-11-30,Email Campaign,S. Gupta,Lost,0,
1070,2025-10-31,Email Campaign,R. Iyer,New,0,
1071,2026-03-08,Direct,S. Gupta,Lost,0,
1072,2026-03-27,Organic Search,R. Iyer,New,0,
1073,2025-09-10,Email Campaign,R. Iyer,Proposal Sent,0,
1074,2025-11-29,Paid Social,R. Iyer,Demo Scheduled,0,
1075,2025-12-12,Paid Social,A. Sharma,Lost,0,
1076,2026-02-12,Referral,K. Das,Converted,15000,10
1077,2025-11-06,Organic Search,P. Nair,Converted,42000,30
1078,2025-11-28,Webinar,P. Nair,Proposal Sent,0,
1079,2025-09-30,Paid Social,K. Das,Contacted,0,
1080,2025-12-21,Organic Search,K. Das,Lost,0,
1081,2026-03-08,Webinar,P. Nair,Proposal Sent,0,
1082,2025-11-24,Webinar,A. Sharma,Lost,0,
1083,2025-11-19,Webinar,P. Nair,Contacted,0,
1084,2025-10-03,Organic Search,S. Gupta,Lost,0,
1085,2026-02-05,Referral,S. Gupta,Contacted,0,
1086,2025-11-13,Organic Search,K. Das,Qualified,0,
1087,2025-12-23,Paid Social,R. Iyer,Lost,0,
1088,2026-03-23,Webinar,A. Sharma,Demo Scheduled,0,
1089,2026-02-06,Paid Social,R. Iyer,Lost,0,
1090,2025-10-21,Organic Search,A. Sharma,Converted,35000,42
1091,2026-03-16,Organic Search,S. Gupta,Lost,0,
1092,2026-03-03,Webinar,S. Gupta,Contacted,0,
1093,2026-02-24,Organic Search,A. Sharma,Lost,0,
1094,2026-03-25,Direct,K. Das,Qualified,0,
1095,2025-10-02,Paid Social,S. Gupta,Lost,0,
1096,2026-01-31,Paid Social,S. Gupta,Lost,0,
1097,2026-01-08,Paid Social,K. Das,Contacted,0,
1098,2025-12-31,Paid Social,R. Iyer,Lost,0,
1099,2026-03-19,Referral,R. Iyer,Converted,15000,21
1100,2025-10-31,Organic Search,P. Nair,New,0,
1101,2025-10-09,Organic Search,R. Iyer,New,0,
1102,2025-12-14,Paid Social,S. Gupta,Contacted,0,
1103,2025-12-17,Paid Social,K. Das,New,0,
1104,2026-03-15,Referral,S. Gupta,Converted,28000,22
1105,2026-03-12,Paid Social,S. Gupta,Lost,0,
1106,2026-03-24,Referral,R. Iyer,Contacted,0,
1107,2026-01-03,Organic Search,P. Nair,Lost,0,
1108,2026-03-05,Organic Search,S. Gupta,Lost,0,
1109,2026-01-15,Organic Search,S. Gupta,Demo Scheduled,0,
1110,2025-09-22,Webinar,R. Iyer,New,0,
1111,2025-11-06,Paid Social,R. Iyer,Qualified,0,
1112,2025-12-07,Organic Search,S. Gupta,Converted,15000,33
1113,2025-09-05,Webinar,A. Sharma,Lost,0,
1114,2026-02-14,Organic Search,A. Sharma,Lost,0,
1115,2025-10-22,Email Campaign,K. Das,Converted,22000,33
1116,2026-02-19,Organic Search,R. Iyer,Contacted,0,
1117,2025-12-04,Organic Search,K. Das,Lost,0,
1118,2026-03-19,Email Campaign,P. Nair,Converted,15000,22
1119,2026-01-26,Webinar,S. Gupta,Demo Scheduled,0,
1120,2025-09-20,Referral,R. Iyer,Converted,28000,41
1121,2026-03-26,Organic Search,K. Das,Lost,0,
1122,2025-12-19,Webinar,A. Sharma,Qualified,0,
1123,2025-12-17,Email Campaign,A. Sharma,Qualified,0,
1124,2025-12-27,Webinar,S. Gupta,Converted,42000,44
1125,2025-11-09,Referral,K. Das,Lost,0,
1126,2026-03-07,Referral,P. Nair,Lost,0,
1127,2025-09-23,Organic Search,S. Gupta,Converted,35000,39
1128,2026-02-04,Webinar,P. Nair,Converted,28000,14
1129,2026-01-03,Organic Search,P. Nair,Proposal Sent,0,
1130,2026-02-27,Email Campaign,K. Das,Converted,22000,8
1131,2025-11-01,Webinar,S. Gupta,Contacted,0,
1132,2025-12-31,Webinar,S. Gupta,Contacted,0,
1133,2025-11-15,Organic Search,R. Iyer,Qualified,0,
1134,2025-12-31,Referral,P. Nair,Demo Scheduled,0,
1135,2025-11-24,Paid Social,S. Gupta,Contacted,0,
1136,2025-10-01,Webinar,P. Nair,Converted,42000,14
1137,2025-10-20,Organic Search,S. Gupta,Converted,42000,36
1138,2026-01-31,Paid Social,A. Sharma,Lost,0,
1139,2025-12-02,Organic Search,A. Sharma,New,0,
1140,2025-09-12,Direct,K. Das,Proposal Sent,0,
1141,2026-02-11,Email Campaign,S. Gupta,Converted,15000,39
1142,2025-11-12,Paid Social,S. Gupta,Proposal Sent,0,
1143,2025-11-04,Direct,S. Gupta,Converted,15000,28
1144,2026-01-04,Organic Search,A. Sharma,Converted,42000,22
1145,2025-09-22,Direct,A. Sharma,Qualified,0,
1146,2026-01-31,Email Campaign,R. Iyer,Lost,0,
1147,2025-12-23,Paid Social,K. Das,Lost,0,
1148,2026-02-06,Organic Search,A. Sharma,Lost,0,
1149,2025-10-25,Organic Search,A. Sharma,Converted,22000,38
1150,2025-09-20,Organic Search,S. Gupta,Qualified,0,
1151,2025-11-14,Organic Search,P. Nair,Lost,0,
1152,2025-12-26,Organic Search,R. Iyer,Lost,0,
1153,2026-02-08,Referral,R. Iyer,Qualified,0,
1154,2026-02-13,Organic Search,P. Nair,New,0,
1155,2025-10-13,Email Campaign,K. Das,Lost,0,
1156,2025-11-13,Paid Social,S. Gupta,Lost,0,
1157,2025-11-09,Referral,S. Gupta,Qualified,0,
1158,2025-12-20,Webinar,K. Das,Contacted,0,
1159,2026-02-20,Email Campaign,K. Das,New,0,
1160,2026-03-15,Webinar,P. Nair,Lost,0,
1161,2025-10-15,Paid Social,S. Gupta,New,0,
1162,2026-01-28,Paid Social,S. Gupta,Lost,0,
1163,2025-12-14,Paid Social,A. Sharma,Lost,0,
1164,2026-02-25,Paid Social,S. Gupta,Lost,0,
1165,2025-12-26,Organic Search,P. Nair,Proposal Sent,0,
1166,2025-12-13,Email Campaign,A. Sharma,Lost,0,
1167,2025-12-15,Organic Search,K. Das,Demo Scheduled,0,
1168,2026-02-08,Paid Social,A. Sharma,Qualified,0,
1169,2025-11-13,Paid Social,S. Gupta,Converted,55000,41
1170,2026-03-24,Organic Search,R. Iyer,Contacted,0,
1171,2025-12-14,Organic Search,A. Sharma,Contacted,0,
1172,2025-10-10,Paid Social,P. Nair,Lost,0,
1173,2026-01-02,Direct,R. Iyer,Contacted,0,
1174,2025-10-19,Direct,K. Das,New,0,
1175,2025-09-18,Organic Search,S. Gupta,Demo Scheduled,0,
1176,2025-11-08,Email Campaign,P. Nair,Lost,0,
1177,2026-01-27,Direct,S. Gupta,Lost,0,
1178,2026-01-02,Paid Social,K. Das,Lost,0,
1179,2025-11-22,Email Campaign,R. Iyer,Lost,0,
1180,2026-03-18,Paid Social,P. Nair,Lost,0,
1181,2026-03-27,Paid Social,R. Iyer,New,0,
1182,2026-01-07,Direct,P. Nair,Lost,0,
1183,2025-12-22,Organic Search,S. Gupta,Converted,22000,29
1184,2026-02-15,Direct,A. Sharma,Proposal Sent,0,
1185,2025-11-26,Webinar,S. Gupta,Lost,0,
1186,2026-02-20,Email Campaign,S. Gupta,Lost,0,
1187,2026-03-14,Paid Social,K. Das,Converted,15000,18
1188,2026-02-09,Webinar,P. Nair,Lost,0,
1189,2025-12-21,Direct,A. Sharma,Demo Scheduled,0,
1190,2025-09-08,Organic Search,A. Sharma,Converted,28000,30
1191,2025-10-08,Organic Search,S. Gupta,Demo Scheduled,0,
1192,2025-10-14,Organic Search,K. Das,Lost,0,
1193,2025-11-01,Paid Social,K. Das,Qualified,0,
1194,2025-11-05,Paid Social,A. Sharma,Lost,0,
1195,2025-11-13,Webinar,R. Iyer,Converted,28000,40
1196,2025-11-16,Webinar,S. Gupta,Lost,0,
1197,2025-11-17,Organic Search,S. Gupta,New,0,
1198,2025-12-07,Referral,K. Das,Converted,55000,21
1199,2025-09-06,Direct,S. Gupta,Qualified,0,
1200,2026-02-23,Email Campaign,A. Sharma,Lost,0,
1201,2025-11-13,Email Campaign,R. Iyer,Lost,0,
1202,2026-02-10,Organic Search,P. Nair,Lost,0,
1203,2026-02-16,Webinar,R. Iyer,Lost,0,
1204,2026-02-13,Organic Search,S. Gupta,Converted,28000,11
1205,2025-09-24,Email Campaign,P. Nair,New,0,
1206,2025-10-04,Email Campaign,P. Nair,Lost,0,
1207,2025-10-13,Organic Search,S. Gupta,Lost,0,
1208,2025-11-26,Email Campaign,S. Gupta,New,0,
1209,2025-10-28,Email Campaign,S. Gupta,Lost,0,
1210,2025-12-03,Organic Search,S. Gupta,Converted,42000,10
1211,2025-12-26,Paid Social,P. Nair,Lost,0,
1212,2025-12-05,Organic Search,R. Iyer,Demo Scheduled,0,
1213,2026-01-22,Paid Social,K. Das,Contacted,0,
1214,2026-03-30,Paid Social,P. Nair,New,0,
1215,2025-09-12,Direct,P. Nair,New,0,
1216,2025-10-31,Email Campaign,R. Iyer,Qualified,0,
1217,2026-03-10,Webinar,K. Das,Demo Scheduled,0,
1218,2025-10-10,Email Campaign,A. Sharma,Lost,0,
1219,2025-11-11,Organic Search,P. Nair,Converted,35000,18
1220,2025-12-02,Organic Search,P. Nair,Proposal Sent,0,
1221,2025-12-01,Organic Search,P. Nair,Converted,15000,32
1222,2025-09-24,Webinar,K. Das,New,0,
1223,2025-11-25,Organic Search,R. Iyer,Lost,0,
1224,2026-03-15,Referral,K. Das,Converted,22000,24
1225,2026-03-18,Organic Search,K. Das,Converted,22000,11
1226,2026-01-17,Organic Search,R. Iyer,Converted,15000,11
1227,2025-09-04,Paid Social,R. Iyer,New,0,
1228,2025-11-07,Organic Search,S. Gupta,Demo Scheduled,0,
1229,2025-12-31,Paid Social,P. Nair,New,0,
1230,2026-01-07,Organic Search,K. Das,Converted,55000,36
1231,2025-11-17,Paid Social,A. Sharma,Converted,35000,28
1232,2025-12-19,Webinar,S. Gupta,Lost,0,
1233,2025-09-21,Paid Social,R. Iyer,Converted,28000,42
1234,2026-02-10,Referral,P. Nair,Qualified,0,
1235,2025-11-15,Paid Social,K. Das,Demo Scheduled,0,
1236,2025-09-30,Email Campaign,K. Das,Lost,0,
1237,2025-12-25,Email Campaign,S. Gupta,Qualified,0,
1238,2025-12-16,Webinar,P. Nair,Demo Scheduled,0,
1239,2025-12-05,Direct,S. Gupta,Converted,15000,8
1240,2025-12-20,Organic Search,P. Nair,Lost,0,
1241,2026-01-29,Direct,K. Das,Contacted,0,
1242,2025-11-30,Email Campaign,S. Gupta,Lost,0,
1243,2025-11-13,Referral,P. Nair,Converted,42000,16
1244,2025-10-10,Webinar,R. Iyer,Lost,0,
1245,2026-01-21,Paid Social,P. Nair,Lost,0,
1246,2026-01-22,Direct,K. Das,Demo Scheduled,0,
1247,2025-09-07,Referral,P. Nair,Converted,28000,22
1248,2025-11-26,Paid Social,R. Iyer,Lost,0,
1249,2025-12-12,Organic Search,A. Sharma,Converted,42000,16
1250,2025-12-06,Paid Social,P. Nair,Qualified,0,
1251,2025-11-23,Email Campaign,K. Das,Lost,0,
1252,2025-10-10,Organic Search,K. Das,Converted,15000,20
1253,2025-12-23,Webinar,S. Gupta,Lost,0,
1254,2025-10-26,Webinar,A. Sharma,Contacted,0,
1255,2026-02-21,Webinar,S. Gupta,Qualified,0,
1256,2025-10-27,Paid Social,K. Das,Converted,22000,22
1257,2025-10-25,Email Campaign,P. Nair,Contacted,0,
1258,2026-01-06,Webinar,R. Iyer,Converted,42000,17
1259,2026-01-07,Referral,P. Nair,Converted,55000,5
1260,2025-12-21,Organic Search,A. Sharma,Lost,0,
1261,2026-01-25,Paid Social,S. Gupta,Qualified,0,
1262,2025-11-23,Organic Search,K. Das,Demo Scheduled,0,
1263,2025-12-02,Organic Search,A. Sharma,Converted,42000,28
1264,2026-01-13,Organic Search,P. Nair,Lost,0,
1265,2026-03-19,Organic Search,K. Das,Qualified,0,
1266,2025-10-20,Email Campaign,P. Nair,Proposal Sent,0,
1267,2026-02-13,Email Campaign,R. Iyer,Converted,28000,15
1268,2025-10-15,Referral,A. Sharma,Converted,55000,34
1269,2025-12-28,Webinar,K. Das,Proposal Sent,0,
1270,2026-01-23,Webinar,K. Das,Proposal Sent,0,
1271,2025-11-20,Organic Search,A. Sharma,Demo Scheduled,0,
1272,2026-03-23,Organic Search,A. Sharma,Contacted,0,
1273,2025-12-28,Paid Social,A. Sharma,Contacted,0,
1274,2026-02-13,Email Campaign,A. Sharma,Lost,0,
1275,2025-12-28,Referral,A. Sharma,Demo Scheduled,0,
1276,2026-02-14,Organic Search,K. Das,Contacted,0,
1277,2025-09-16,Paid Social,P. Nair,New,0,
1278,2026-02-13,Organic Search,R. Iyer,Lost,0,
1279,2026-01-13,Referral,R. Iyer,Converted,28000,27
1280,2025-12-14,Email Campaign,K. Das,Converted,55000,44
1281,2025-11-25,Organic Search,A. Sharma,Qualified,0,
1282,2025-11-04,Webinar,K. Das,Lost,0,
1283,2026-01-28,Webinar,P. Nair,Demo Scheduled,0,
1284,2026-02-17,Paid Social,K. Das,New,0,
1285,2026-01-22,Paid Social,P. Nair,Lost,0,
1286,2026-03-09,Direct,K. Das,Converted,55000,30
1287,2026-01-09,Paid Social,P. Nair,Proposal Sent,0,
1288,2025-11-27,Direct,S. Gupta,Converted,22000,12
1289,2025-09-20,Paid Social,A. Sharma,Lost,0,
1290,2026-03-09,Email Campaign,A. Sharma,Lost,0,
1291,2026-02-06,Organic Search,S. Gupta,Converted,22000,42
1292,2026-03-27,Email Campaign,S. Gupta,Converted,28000,18
1293,2025-12-23,Referral,S. Gupta,Converted,22000,22
1294,2026-03-27,Email Campaign,R. Iyer,Proposal Sent,0,
1295,2025-12-22,Paid Social,P. Nair,Lost,0,
1296,2025-12-17,Direct,R. Iyer,New,0,
1297,2025-11-04,Organic Search,S. Gupta,Lost,0,
1298,2025-09-27,Webinar,K. Das,Lost,0,
1299,2026-03-15,Organic Search,S. Gupta,New,0,
1300,2025-12-21,Organic Search,R. Iyer,Lost,0,
1301,2025-09-07,Paid Social,S. Gupta,Lost,0,
1302,2025-09-21,Paid Social,A. Sharma,Contacted,0,
1303,2026-03-02,Webinar,R. Iyer,Converted,28000,33
1304,2026-02-26,Email Campaign,S. Gupta,Contacted,0,
1305,2025-09-21,Organic Search,R. Iyer,Lost,0,
1306,2026-03-06,Referral,S. Gupta,Converted,28000,18
1307,2025-11-17,Organic Search,R. Iyer,Demo Scheduled,0,
1308,2025-12-27,Organic Search,S. Gupta,Contacted,0,
1309,2026-01-10,Referral,R. Iyer,Converted,15000,42
1310,2025-11-30,Organic Search,S. Gupta,Converted,55000,8
1311,2026-01-13,Direct,A. Sharma,Lost,0,
1312,2026-03-21,Direct,K. Das,Converted,35000,5
1313,2026-02-10,Paid Social,P. Nair,Contacted,0,
1314,2026-03-21,Organic Search,R. Iyer,Lost,0,
1315,2026-03-17,Referral,P. Nair,Converted,28000,37
1316,2025-11-26,Email Campaign,R. Iyer,Lost,0,
1317,2026-02-26,Paid Social,R. Iyer,New,0,
1318,2026-03-18,Direct,A. Sharma,Contacted,0,
1319,2025-10-22,Email Campaign,P. Nair,Lost,0,
1320,2026-03-28,Referral,P. Nair,Converted,55000,15
1321,2025-11-13,Paid Social,A. Sharma,Lost,0,
1322,2025-10-02,Email Campaign,S. Gupta,Lost,0,
1323,2025-12-08,Paid Social,R. Iyer,Lost,0,
1324,2026-03-24,Referral,A. Sharma,Contacted,0,
1325,2026-02-02,Direct,R. Iyer,Qualified,0,
1326,2025-09-21,Paid Social,P. Nair,Demo Scheduled,0,
1327,2025-12-19,Organic Search,S. Gupta,Contacted,0,
1328,2025-11-30,Referral,S. Gupta,Converted,15000,7
1329,2026-02-19,Webinar,P. Nair,Demo Scheduled,0,
1330,2025-10-11,Direct,R. Iyer,Lost,0,
1331,2025-12-22,Organic Search,A. Sharma,Converted,55000,26
1332,2025-12-02,Paid Social,K. Das,Converted,22000,31
1333,2025-12-04,Paid Social,A. Sharma,Lost,0,
1334,2025-12-11,Paid Social,P. Nair,Contacted,0,
1335,2026-03-08,Organic Search,K. Das,Qualified,0,
1336,2025-11-07,Email Campaign,S. Gupta,Demo Scheduled,0,
1337,2026-02-25,Email Campaign,S. Gupta,Contacted,0,
1338,2025-09-19,Paid Social,S. Gupta,Lost,0,
1339,2025-11-21,Webinar,A. Sharma,Contacted,0,
1340,2025-11-16,Email Campaign,R. Iyer,Lost,0,
1341,2025-10-02,Direct,R. Iyer,Converted,35000,4
1342,2025-12-02,Referral,P. Nair,Proposal Sent,0,
1343,2025-10-04,Referral,A. Sharma,Converted,35000,33
1344,2026-01-13,Paid Social,S. Gupta,New,0,
1345,2025-11-21,Webinar,S. Gupta,Qualified,0,
1346,2025-10-03,Email Campaign,K. Das,New,0,
1347,2025-10-04,Paid Social,A. Sharma,Lost,0,
1348,2025-11-17,Organic Search,P. Nair,Lost,0,
1349,2026-01-11,Email Campaign,A. Sharma,Demo Scheduled,0,
1350,2026-01-20,Organic Search,P. Nair,Contacted,0,
1351,2026-02-12,Organic Search,K. Das,Converted,55000,42
1352,2026-03-04,Email Campaign,P. Nair,Lost,0,
1353,2025-09-08,Organic Search,K. Das,Converted,22000,39
1354,2025-12-16,Referral,A. Sharma,Demo Scheduled,0,
1355,2025-11-14,Webinar,P. Nair,Demo Scheduled,0,
1356,2026-02-23,Paid Social,S. Gupta,Converted,15000,13
1357,2025-12-22,Paid Social,S. Gupta,Demo Scheduled,0,
1358,2025-11-20,Email Campaign,P. Nair,Lost,0,
1359,2025-12-12,Organic Search,P. Nair,Contacted,0,
1360,2025-11-01,Paid Social,P. Nair,Contacted,0,
1361,2025-09-13,Paid Social,S. Gupta,Lost,0,
1362,2025-10-11,Email Campaign,K. Das,New,0,
1363,2025-10-11,Paid Social,K. Das,Proposal Sent,0,
1364,2026-01-06,Organic Search,S. Gupta,Proposal Sent,0,
1365,2025-10-26,Referral,A. Sharma,Converted,35000,41
1366,2026-02-15,Webinar,P. Nair,Demo Scheduled,0,
1367,2025-12-20,Organic Search,P. Nair,Lost,0,
1368,2025-12-03,Organic Search,A. Sharma,Contacted,0,
1369,2026-01-20,Paid Social,S. Gupta,Lost,0,
1370,2025-11-11,Email Campaign,K. Das,New,0,
1371,2025-09-25,Paid Social,P. Nair,Lost,0,
1372,2025-10-07,Organic Search,K. Das,Contacted,0,
1373,2025-09-10,Organic Search,P. Nair,Lost,0,
1374,2025-10-09,Referral,K. Das,Converted,42000,23
1375,2025-10-12,Paid Social,K. Das,Lost,0,
1376,2025-11-26,Referral,K. Das,Demo Scheduled,0,
1377,2025-11-16,Paid Social,A. Sharma,Demo Scheduled,0,
1378,2025-12-16,Referral,A. Sharma,Contacted,0,
1379,2026-02-15,Email Campaign,K. Das,Lost,0,
1380,2026-01-28,Paid Social,K. Das,Lost,0,
1381,2025-12-07,Organic Search,R. Iyer,Converted,55000,10
1382,2025-10-19,Organic Search,P. Nair,Qualified,0,
1383,2025-10-23,Paid Social,K. Das,Lost,0,
1384,2026-03-08,Webinar,R. Iyer,Qualified,0,
1385,2026-02-17,Paid Social,S. Gupta,Contacted,0,
1386,2026-01-15,Paid Social,P. Nair,Lost,0,
1387,2026-02-22,Webinar,P. Nair,New,0,
1388,2025-11-03,Organic Search,P. Nair,Converted,28000,21
1389,2026-02-28,Organic Search,S. Gupta,Qualified,0,
1390,2026-03-23,Webinar,P. Nair,Converted,55000,37
1391,2025-12-07,Email Campaign,S. Gupta,Lost,0,
1392,2026-03-25,Organic Search,A. Sharma,Converted,55000,8
1393,2025-11-28,Direct,P. Nair,Lost,0,
1394,2026-01-16,Organic Search,K. Das,New,0,
1395,2026-02-05,Webinar,R. Iyer,Demo Scheduled,0,
1396,2026-01-14,Organic Search,R. Iyer,Converted,35000,24
1397,2026-03-03,Paid Social,R. Iyer,Converted,42000,13
1398,2025-12-14,Webinar,S. Gupta,Contacted,0,
1399,2025-11-13,Paid Social,A. Sharma,New,0,
1400,2026-01-25,Organic Search,A. Sharma,New,0,
1401,2025-10-16,Direct,A. Sharma,Lost,0,
1402,2026-01-05,Organic Search,P. Nair,New,0,
1403,2026-01-24,Referral,P. Nair,Converted,55000,37
1404,2026-01-13,Paid Social,R. Iyer,Lost,0,
1405,2025-10-20,Email Campaign,P. Nair,Qualified,0,
1406,2025-11-05,Webinar,A. Sharma,Lost,0,
1407,2026-01-24,Webinar,R. Iyer,Converted,55000,28
1408,2025-12-19,Referral,A. Sharma,Contacted,0,
1409,2025-10-06,Paid Social,R. Iyer,Converted,35000,18
1410,2025-12-24,Webinar,P. Nair,Demo Scheduled,0,
1411,2025-09-03,Organic Search,P. Nair,New,0,
1412,2025-10-01,Paid Social,R. Iyer,Qualified,0,
1413,2026-02-28,Email Campaign,A. Sharma,Lost,0,
1414,2025-12-04,Referral,R. Iyer,Lost,0,
1415,2025-12-26,Webinar,K. Das,Demo Scheduled,0,
1416,2025-12-30,Webinar,R. Iyer,Lost,0,
1417,2026-01-31,Email Campaign,A. Sharma,Lost,0,
1418,2025-12-02,Organic Search,K. Das,Converted,42000,35
1419,2025-10-22,Referral,R. Iyer,Converted,42000,31
1420,2025-09-30,Webinar,K. Das,Proposal Sent,0,
1421,2025-12-24,Email Campaign,S. Gupta,Converted,35000,32
1422,2026-01-23,Organic Search,S. Gupta,Lost,0,
1423,2025-09-06,Paid Social,A. Sharma,Lost,0,
1424,2025-09-12,Paid Social,A. Sharma,New,0,
1425,2025-09-18,Direct,S. Gupta,Converted,35000,14
1426,2026-03-16,Organic Search,S. Gupta,Proposal Sent,0,
1427,2025-12-24,Email Campaign,S. Gupta,Demo Scheduled,0,
1428,2026-02-17,Email Campaign,R. Iyer,Lost,0,
1429,2025-10-16,Direct,S. Gupta,Demo Scheduled,0,
1430,2025-10-28,Email Campaign,A. Sharma,Lost,0,
1431,2026-03-04,Referral,K. Das,Converted,22000,18
1432,2025-12-27,Paid Social,P. Nair,Proposal Sent,0,
1433,2026-03-15,Organic Search,S. Gupta,Proposal Sent,0,
1434,2025-09-05,Organic Search,A. Sharma,Converted,15000,31
1435,2026-02-01,Webinar,A. Sharma,Contacted,0,
1436,2025-12-22,Organic Search,R. Iyer,Lost,0,
1437,2025-10-06,Referral,P. Nair,Converted,55000,39
1438,2025-11-21,Referral,P. Nair,Converted,22000,45
1439,2026-01-12,Organic Search,P. Nair,Converted,42000,40
1440,2026-03-08,Email Campaign,S. Gupta,New,0,
1441,2025-11-28,Direct,S. Gupta,Lost,0,
1442,2025-12-16,Paid Social,P. Nair,Demo Scheduled,0,
1443,2025-12-31,Organic Search,R. Iyer,Demo Scheduled,0,
1444,2026-03-26,Paid Social,A. Sharma,Lost,0,
1445,2026-01-21,Referral,S. Gupta,Converted,22000,24
1446,2026-02-13,Organic Search,S. Gupta,New,0,
1447,2026-03-05,Email Campaign,A. Sharma,Demo Scheduled,0,
1448,2026-02-02,Organic Search,A. Sharma,Converted,42000,45
1449,2026-01-22,Organic Search,R. Iyer,Lost,0,
1450,2025-09-04,Organic Search,R. Iyer,New,0,
1451,2026-03-13,Paid Social,R. Iyer,Lost,0,
1452,2025-12-11,Email Campaign,K. Das,Contacted,0,
1453,2025-12-29,Referral,P. Nair,Converted,28000,35
1454,2026-01-06,Paid Social,S. Gupta,Lost,0,
1455,2025-10-23,Paid Social,S. Gupta,Converted,22000,12
1456,2025-09-05,Organic Search,K. Das,Qualified,0,
1457,2025-10-10,Organic Search,R. Iyer,Demo Scheduled,0,
1458,2026-01-06,Referral,P. Nair,Converted,35000,44
1459,2026-03-09,Paid Social,R. Iyer,Lost,0,
1460,2025-10-06,Webinar,S. Gupta,Converted,42000,44
